isr_db_id	source	CORE_otu	genus_group	family	order	class	phylum
NZ_GG667606.B	Veillonella_dispar_ATCC_17748_673	Veillonella atypica dispar parvula	Veillonella	Veillonellaceae	Selenomonadales	Negativicutes	Firmicutes
NZ_GL622607.A	Gemella_morbillorum_M424	Gemella morbillorum	Gemella	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
NZ_GL622607.B	Gemella_morbillorum_M424_0	Gemella morbillorum	Gemella	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
NZ_GL636091	Streptococcus_australis_ATCC_700641	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL831107	Streptococcus_sanguinis_VMC66	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL831112	Streptococcus_vestibularis_ATCC_49124	Streptococcus vestibularis salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL872376	Streptococcus_sanguinis_SK72	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL878507	Streptococcus_sanguinis_SK1	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL878548	Streptococcus_sanguinis_SK330	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL883582	Gemella_haemolysans_M341	Gemella haemolysans	Gemella	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
NZ_GL890993	Streptococcus_sanguinis_SK355	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_GL982563	Streptococcus_sanguinis_SK340	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JH376754	Streptococcus_intermedius_F0413	Streptococcus intermedius constellatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JMRV01000049	Streptococcus_parasanguinis_C1A	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JNIS01000001.A	Exiguobacterium_oxidotolerans_JCM_12280	Exiguobacterium oxidotolerans	Exiguobacterium	Bacillaceae	Bacillales	Bacilli	Firmicutes
NZ_JNIS01000001.B	Exiguobacterium_oxidotolerans_JCM_12280_0	Exiguobacterium oxidotolerans	Exiguobacterium	Bacillaceae	Bacillales	Bacilli	Firmicutes
NZ_JRND01000001	Atopobium_parvulum_DNF00906	Atopobium parvulum	Atopobium	Coriobacteriaceae	Coriobacteriales	Coriobacteridae	Actinobacteria
NZ_JUPI01000001	Streptococcus_parasanguinis_886_SPAR	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVBU01000001	Streptococcus_intermedius_567_SINT	Streptococcus intermedius constellatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVCZ01000002	Streptococcus_parasanguinis_540_rep1_SPAR	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVFE01000020	Haemophilus_parainfluenzae_488_HPAR	Haemophilus parainfluenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
NZ_JVGP01000002	Streptococcus_parasanguinis_451_SPAR	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVKT01000001	Streptococcus_parasanguinis_344_SPAR	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVLU01000004	Streptococcus_parasanguinis_318_SPAR	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVSO01000004	Streptococcus_cristatus_142_SOLI	Streptococcus cristatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JVSU01000011	Haemophilus_parainfluenzae_137_HINF	Haemophilus parainfluenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
NZ_JWCE01000012	Haemophilus_parainfluenzae_1128_HPAR	Haemophilus parainfluenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
